dataset,mode,bit_setting,bits,metric,n,mean,std,sem,ci95_low,ci95_high
paper_captured,full_kv,2,2.0,next_logit_kl,4,-7.967521194074753e-21,1.103551014674234e-20,5.51775507337117e-21,-2.552748044078527e-20,9.592438052635763e-21
paper_captured,full_kv,2,2.0,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0
paper_captured,full_kv,2,2.0,prefill_seconds,4,0.15848802500113374,0.20077433811717754,0.10038716905858877,-0.16098875026726306,0.47796480026953053
paper_captured,full_kv,2.5,2.5,attention_output_relative_error,4,0.287109375,0.001594719884624465,0.0007973599423122325,0.2845718197976072,0.2896469302023928
paper_captured,full_kv,2.5,2.5,decode_seconds,4,0.006147800002508951,0.0011074232142745466,0.0005537116071372733,0.004385642544182231,0.00790995746083567
paper_captured,full_kv,2.5,2.5,hidden_cosine_similarity,4,0.95703125,0.00318943976924893,0.001594719884624465,0.9519561395952144,0.9621063604047856
paper_captured,full_kv,2.5,2.5,hidden_mae,4,0.172607421875,0.020365874760908707,0.010182937380454353,0.1402007704316377,0.2050140733183623
paper_captured,full_kv,2.5,2.5,hidden_mse,4,0.05010986328125,0.011739712086839991,0.005869856043419996,0.03142936160332079,0.0687903649591792
paper_captured,full_kv,2.5,2.5,logit_cosine_similarity,4,0.998046875,0.0022552744890219755,0.0011276372445109878,0.9944582300175057,1.0016355199824942
paper_captured,full_kv,2.5,2.5,logit_mae,4,11.234375,0.9847469535367956,0.4923734767683978,9.667422848038719,12.801327151961281
paper_captured,full_kv,2.5,2.5,logit_mse,4,196.75,34.49033681095813,17.245168405479063,141.8681775239878,251.6318224760122
paper_captured,full_kv,2.5,2.5,logit_spearman,4,0.9836355447769165,0.003216463912690853,0.0016082319563454266,0.9785174329294059,0.9887536566244272
paper_captured,full_kv,2.5,2.5,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,full_kv,2.5,2.5,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,full_kv,2.5,2.5,logit_top5_overlap,4,0.8468750268220901,0.02771698357191034,0.01385849178595517,0.8027711208410725,0.8909789328031078
paper_captured,full_kv,2.5,2.5,memory_bits,4,87600.0,24903.01186603741,12451.505933018705,47973.75094824646,127226.24905175355
paper_captured,full_kv,2.5,2.5,memory_ratio_vs_exact,4,0.146484375,0.0,0.0,0.146484375,0.146484375
paper_captured,full_kv,2.5,2.5,next_logit_kl,4,-1.6464309339057908e-20,3.4210685687455803e-20,1.7105342843727902e-20,-7.090114447269088e-20,3.7972525794575064e-20
paper_captured,full_kv,2.5,2.5,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0
paper_captured,full_kv,2.5,2.5,prefill_seconds,4,0.07897202499589182,0.02131614142065272,0.01065807071032636,0.045053287242361184,0.11289076274942245
paper_captured,full_kv,3,3.0,attention_output_relative_error,4,0.1845703125,0.0007973599423122325,0.00039867997115611623,0.1833015348988036,0.1858390901011964
paper_captured,full_kv,3,3.0,decode_seconds,4,0.007830025006114676,0.006185282000441631,0.0030926410002208157,-0.00201213891860697,0.017672188930836323
paper_captured,full_kv,3,3.0,hidden_cosine_similarity,4,0.98046875,0.005524271728019903,0.0027621358640099515,0.9716784009248899,0.9892590990751101
paper_captured,full_kv,3,3.0,hidden_mae,4,0.1114501953125,0.012167089602988266,0.006083544801494133,0.09208964063595709,0.1308107499890429
paper_captured,full_kv,3,3.0,hidden_mse,4,0.020782470703125,0.004633716814491543,0.0023168584072457716,0.013409193225120198,0.0281557481811298
paper_captured,full_kv,3,3.0,logit_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0
paper_captured,full_kv,3,3.0,logit_mae,4,8.765625,0.4983697380794036,0.2491848690397018,7.972607534191996,9.558642465808003
paper_captured,full_kv,3,3.0,logit_mse,4,122.5,14.548768561863463,7.274384280931732,99.34966262193493,145.65033737806507
paper_captured,full_kv,3,3.0,logit_spearman,4,0.9883206486701965,0.0020477335395041986,0.0010238667697520993,0.9850622476516963,0.9915790496886968
paper_captured,full_kv,3,3.0,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,full_kv,3,3.0,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,full_kv,3,3.0,logit_top5_overlap,4,0.8843750208616257,0.04827763906060027,0.024138819530300136,0.8075545238335118,0.9611955178897396
paper_captured,full_kv,3,3.0,memory_bits,4,115632.0,32871.97566316938,16435.98783158469,63325.35125168532,167938.64874831468
paper_captured,full_kv,3,3.0,memory_ratio_vs_exact,4,0.193359375,0.0,0.0,0.193359375,0.193359375
paper_captured,full_kv,3,3.0,next_logit_kl,4,1.5470866029226897e-20,3.1191195684415665e-20,1.5595597842207833e-20,-3.416128670239798e-20,6.510301876085178e-20
paper_captured,full_kv,3,3.0,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0
paper_captured,full_kv,3,3.0,prefill_seconds,4,0.061678149999352117,0.02291339252591557,0.011456696262957785,0.025217829306544454,0.09813847069215978
paper_captured,full_kv,3.5,3.5,attention_output_relative_error,4,0.150634765625,0.0029160925890574407,0.0014580462945287204,0.14599461158204446,0.15527491966795554
paper_captured,full_kv,3.5,3.5,decode_seconds,4,0.023881624994828574,0.0352383398490897,0.01761916992454485,-0.032190437233705016,0.07995368722336216
paper_captured,full_kv,3.5,3.5,hidden_cosine_similarity,4,0.98828125,0.00318943976924893,0.001594719884624465,0.9832061395952144,0.9933563604047856
paper_captured,full_kv,3.5,3.5,hidden_mae,4,0.0909423828125,0.011321212588853501,0.005660606294426751,0.0729278072251359,0.1089569583998641
paper_captured,full_kv,3.5,3.5,hidden_mse,4,0.0138702392578125,0.0033375963379317967,0.0016687981689658983,0.00855937869072276,0.01918109982490224
paper_captured,full_kv,3.5,3.5,logit_cosine_similarity,4,0.9990234375,0.001953125,0.0009765625,0.9959155797799963,1.0021312952200037
paper_captured,full_kv,3.5,3.5,logit_mae,4,7.484375,0.1813218248492626,0.0906609124246313,7.195851514220582,7.772898485779418
paper_captured,full_kv,3.5,3.5,logit_mse,4,91.125,7.272952174552871,3.6364760872764355,79.55211011179455,102.69788988820545
paper_captured,full_kv,3.5,3.5,logit_spearman,4,0.9893950074911118,0.0011638119324148505,0.0005819059662074252,0.9875431229989324,0.9912468919832911
paper_captured,full_kv,3.5,3.5,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,full_kv,3.5,3.5,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,full_kv,3.5,3.5,logit_top5_overlap,4,0.9000000357627869,0.045643568223308,0.022821784111654,0.8273709332366712,0.9726291382889025
paper_captured,full_kv,3.5,3.5,memory_bits,4,124976.0,35528.29692888004,17764.14846444002,68442.55135283161,181509.4486471684
paper_captured,full_kv,3.5,3.5,memory_ratio_vs_exact,4,0.208984375,0.0,0.0,0.208984375,0.208984375
paper_captured,full_kv,3.5,3.5,next_logit_kl,4,1.596111958007767e-20,3.115105361622006e-20,1.557552680811003e-20,-3.3607158163239443e-20,6.552939732339478e-20
paper_captured,full_kv,3.5,3.5,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0
paper_captured,full_kv,3.5,3.5,prefill_seconds,4,0.135716049997427,0.07588459675958194,0.03794229837979097,0.014966722704689225,0.2564653772901648
paper_captured,full_kv,4,4.0,attention_output_relative_error,4,0.096923828125,0.0016677979762304033,0.0008338989881152017,0.09426998937129295,0.09957766687870705
paper_captured,full_kv,4,4.0,decode_seconds,4,0.08783515000322947,0.16406325719482656,0.08203162859741328,-0.17322610334301378,0.3488964033494727
paper_captured,full_kv,4,4.0,hidden_cosine_similarity,4,0.9951171875,0.001953125,0.0009765625,0.9920093297799963,0.9982250452200037
paper_captured,full_kv,4,4.0,hidden_mae,4,0.05859375,0.00614730386328817,0.003073651931644085,0.04881201776641115,0.06837548223358884
paper_captured,full_kv,4,4.0,hidden_mse,4,0.00572967529296875,0.0012359619140625,0.00061798095703125,0.0037629840795289585,0.0076963665064085415
paper_captured,full_kv,4,4.0,logit_cosine_similarity,4,0.998046875,0.00390625,0.001953125,0.9918311595599928,1.0042625904400073
paper_captured,full_kv,4,4.0,logit_mae,4,4.875,0.3489194630092547,0.17445973150462735,4.319791272052311,5.430208727947689
paper_captured,full_kv,4,4.0,logit_mse,4,38.9375,4.955531421216767,2.4777657106083835,31.05214366891569,46.82285633108431
paper_captured,full_kv,4,4.0,logit_spearman,4,0.995434045791626,0.0012463633327859794,0.0006231816663929897,0.993450803599893,0.9974172879833589
paper_captured,full_kv,4,4.0,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,full_kv,4,4.0,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,full_kv,4,4.0,logit_top5_overlap,4,0.9375000298023224,0.05103104604138201,0.025515523020691006,0.8562982478377429,1.0187018117669018
paper_captured,full_kv,4,4.0,memory_bits,4,153008.0,43497.260726012006,21748.630363006003,83794.15165627048,222221.8483437295
paper_captured,full_kv,4,4.0,memory_ratio_vs_exact,4,0.255859375,0.0,0.0,0.255859375,0.255859375
paper_captured,full_kv,4,4.0,next_logit_kl,4,-2.1255444763051335e-20,4.173748662223945e-20,2.0868743311119724e-20,-8.766909980943839e-20,4.5158210283335716e-20
paper_captured,full_kv,4,4.0,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0
paper_captured,full_kv,4,4.0,prefill_seconds,4,0.23591089999899845,0.33857172055224105,0.16928586027612053,-0.30283226057351537,0.7746540605715122
paper_captured,key_only_random,2,2.0,attention_output_relative_error,4,0.0489501953125,0.02521828089974598,0.01260914044987299,0.00882228287499836,0.08907810775000163
paper_captured,key_only_random,2,2.0,decode_seconds,4,0.008998850003990751,0.01081752025152884,0.00540876012576442,-0.008214238674414068,0.02621193868239557
paper_captured,key_only_random,2,2.0,hidden_cosine_similarity,4,0.9970703125,0.0037399496396731957,0.0018699748198365979,0.9911192180436375,1.0030214069563625
paper_captured,key_only_random,2,2.0,hidden_mae,4,0.014556884765625,0.006269412886313331,0.0031347064431566656,0.004580849827452037,0.024532919703797965
paper_captured,key_only_random,2,2.0,hidden_mse,4,0.00190401077270505,0.0022078488675755666,0.0011039244337877833,-0.00160916946291529,0.00541719100832539
paper_captured,key_only_random,2,2.0,logit_cosine_similarity,4,0.9951171875,0.001953125,0.0009765625,0.9920093297799963,0.9982250452200037
paper_captured,key_only_random,2,2.0,logit_mae,4,16.28125,0.9499177595981665,0.47495887979908324,14.76971886782172,17.79278113217828
paper_captured,key_only_random,2,2.0,logit_mse,4,420.0,36.3318042491699,18.16590212458495,362.18799190146916,477.81200809853084
paper_captured,key_only_random,2,2.0,logit_spearman,4,0.9779309183359146,0.00268258178265277,0.001341290891326385,0.9736623320945023,0.982199504577327
paper_captured,key_only_random,2,2.0,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,key_only_random,2,2.0,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,key_only_random,2,2.0,logit_top5_overlap,4,0.8468749970197678,0.04827763906060023,0.024138819530300115,0.770054499991654,0.9236954940478815
paper_captured,key_only_random,2,2.0,memory_bits,4,338720.0,96291.64588201132,48145.82294100566,185498.50366655298,491941.49633344705
paper_captured,key_only_random,2,2.0,memory_ratio_vs_exact,4,0.56640625,0.0,0.0,0.56640625,0.56640625
paper_captured,key_only_random,2,2.0,next_logit_kl,4,-7.967521194074753e-21,1.103551014674234e-20,5.51775507337117e-21,-2.552748044078527e-20,9.592438052635763e-21
paper_captured,key_only_random,2,2.0,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0
paper_captured,key_only_random,2,2.0,prefill_seconds,4,0.04008432500631892,0.018159676479235685,0.009079838239617843,0.011188227348073392,0.06898042266456444
paper_captured,key_only_random,2.5,2.5,attention_output_relative_error,4,0.0330657958984375,0.013036436427889608,0.006518218213944804,0.012321916426435892,0.05380967537043911
