dataset,trial,layer,mode,bit_setting,bits,logit_cosine_similarity,logit_mae,logit_mse,logit_spearman,logit_top1_match,logit_top5_match,logit_top5_overlap,hidden_cosine_similarity,hidden_mae,hidden_mse,memory_bits,memory_ratio_vs_exact,prefill_seconds,decode_seconds,peak_vram_mb,capture_id,prompt_label,prompt_hash,model_id,query_source,eval_device
captured,0,0,protected_v_lowrank,2.5,2.5,0.99609375,13.0,272.0,0.9844367504119873,1.0,1.0,0.887499988079071,0.95703125,0.1591796875,0.04541015625,87104.0,0.22151692708333334,0.0223998000001302,0.00262470000598114,20.8740234375,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,full_kv,2.5,2.5,1.0,11.6875,205.0,0.9853013753890991,1.0,1.0,0.9125000238418579,0.95703125,0.1640625,0.04443359375,57600.0,0.146484375,0.019772400002693757,0.00625090001267381,17.28125,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_random,3.5,3.5,0.99609375,6.75,68.0,0.9903656244277954,1.0,1.0,0.9125000238418579,1.0,0.00396728515625,5.888938903808594e-05,238080.0,0.60546875,0.010081899992655963,0.004344200002378784,17.24267578125,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_static,3.5,3.5,1.0,8.3125,112.5,0.9912302494049072,1.0,1.0,0.9249999523162842,1.0,0.006072998046875,0.00013065338134765625,238080.0,0.60546875,0.010373900004196912,0.00496479999856092,17.24267578125,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_learned,3.5,3.5,1.0,7.84375,92.0,0.9887598752975464,1.0,1.0,0.9375,0.9921875,0.009521484375,0.0004177093505859375,238080.0,0.60546875,0.009104099997784942,0.0034002999891526997,17.24560546875,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v,3.5,3.5,1.0,7.84375,92.0,0.9887598752975464,1.0,1.0,0.9375,0.98046875,0.0888671875,0.01434326171875,107360.0,0.2730305989583333,0.015794099992490374,0.0042142000020248815,17.29833984375,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v_lowrank,3.5,3.5,1.0,7.84375,92.0,0.9887598752975464,1.0,1.0,0.9375,0.98046875,0.087890625,0.01361083984375,110432.0,0.2808430989583333,0.06569930000114255,0.005122400005348027,20.8740234375,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,full_kv,3.5,3.5,0.99609375,6.75,68.0,0.9903656244277954,1.0,1.0,0.9125000238418579,0.984375,0.0869140625,0.01263427734375,82176.0,0.208984375,0.03715689999808092,0.006174200010718778,17.28125,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_random,4,4.0,1.0,4.5,32.0,0.9945651888847351,1.0,1.0,0.949999988079071,1.0,0.004913330078125,0.000148773193359375,247296.0,0.62890625,0.01752140000462532,0.005411999998614192,17.34228515625,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_static,4,4.0,1.0,6.03125,58.75,0.9940711259841919,1.0,1.0,0.9249999523162842,1.0,0.005462646484375,0.00022792816162109375,247296.0,0.62890625,0.015382400000817142,0.004612500008079223,17.34228515625,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
