layer,bits,bit_setting,view,mode,rotation_seed,qjl_seed,prompt_count,token_count,orthogonality_error,rotation_determinant_error_max,train_logit_cosine_similarity,train_logit_mse
6,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,82899,82953,4,73,0.0049111247062683105,0.007026283871766181,1.0,188.0
6,4.0,4,vector,key_only_block_so8_triality_vector,82435,82489,4,73,0.004754289984703064,0.004949592545492321,1.0,83.5
6,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,82692,82746,4,73,0.005206108093261719,0.0072162482976751985,1.0,114.0
6,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,82949,83003,4,73,0.004796504974365234,0.006188661097074721,0.9921875,108.5
6,8.0,8,vector,key_only_block_so8_triality_vector,82835,82889,4,73,0.004304137080907822,0.006141999089658623,0.9921875,3.859375
6,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,83092,83146,4,73,0.004842698574066162,0.0072663033928932474,0.9921875,3.9375
6,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,83349,83403,4,73,0.004877030849456787,0.008137943833373074,0.9921875,3.921875
7,2.0,2,vector,key_only_block_so8_triality_vector,84238,84292,4,73,0.00495770201086998,0.00613750914227329,1.0,704.0
7,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,84495,84549,4,73,0.005254607647657394,0.007017992725332545,0.99609375,640.0
7,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,84752,84806,4,73,0.0043002404272556305,0.008534800413911192,0.99609375,732.0
7,2.5,2.5,vector,key_only_block_so8_triality_vector,84288,84342,4,73,0.00495770201086998,0.00613750914227329,0.9921875,374.0
7,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,84545,84599,4,73,0.005254607647657394,0.007017992725332545,1.0,448.0
7,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,84802,84856,4,73,0.0043002404272556305,0.008534800413911192,0.9921875,408.0
7,3.0,3,vector,key_only_block_so8_triality_vector,84338,84392,4,73,0.004804134368896484,0.00517350296114516,0.99609375,214.0
7,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,84595,84649,4,73,0.004595950245857239,0.003623768561965557,0.9921875,262.0
7,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,84852,84906,4,73,0.004320681095123291,0.0047836160572668485,0.99609375,217.0
7,3.5,3.5,vector,key_only_block_so8_triality_vector,84388,84442,4,73,0.004804134368896484,0.00517350296114516,0.99609375,147.0
7,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,84645,84699,4,73,0.004595950245857239,0.003623768561965557,0.99609375,142.0
7,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,84902,84956,4,73,0.004320681095123291,0.0047836160572668485,0.99609375,155.0
7,4.0,4,vector,key_only_block_so8_triality_vector,84438,84492,4,73,0.004167616367340088,0.004027764716148408,0.99609375,64.5
7,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,84695,84749,4,73,0.004779338836669922,0.0058035341990236855,0.99609375,58.75
7,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,84952,85006,4,73,0.005436792969703674,0.006674536930723174,0.99609375,69.0
7,8.0,8,vector,key_only_block_so8_triality_vector,84838,84892,4,73,0.004791736602783203,0.005445049527838863,1.0,3.875
7,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,85095,85149,4,73,0.004652500152587891,0.006274514289850597,0.99609375,3.234375
7,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,85352,85406,4,73,0.004875123500823975,0.005918013789280807,0.99609375,3.875
